"ID";"RegioS";"Perioden";"TotaleOppervlakte_1";"TotaalVerkeersterrein_2";"Spoorterrein_3";"Wegverkeersterrein_4";"Vliegveld_5";"TotaalBebouwdTerrein_6";"Woonterrein_7";"TerreinVoorDetailhandelEnHoreca_8";"TerreinVoorOpenbareVoorzieningen_9";"TerreinVoorSociaalCultureleVoorz_10";"Bedrijventerrein_11";"TotaalSemiBebouwdTerrein_12";"Stortplaats_13";"Wrakkenopslagplaats_14";"Begraafplaats_15";"Delfstofwinplaats_16";"Bouwterrein_17";"SemiVerhardOverigTerrein_18";"TotaalRecreatieterrein_19";"ParkEnPlantsoen_20";"Sportterrein_21";"Volkstuin_22";"DagrecreatiefTerrein_23";"VerblijfsrecreatiefTerrein_24";"TotaalAgrarischTerrein_25";"TerreinVoorGlastuinbouw_26";"OverigAgrarischTerrein_27";"TotaalBosEnOpenNatuurlijkTerrein_28";"Bos_29";"OpenDroogNatuurlijkTerrein_30";"OpenNatNatuurlijkTerrein_31";"TotaalBinnenwater_32";"IJsselmeerMarkermeer_33";"AfgeslotenZeearm_34";"RijnEnMaas_35";"Randmeer_36";"Spaarbekken_37";"RecreatiefBinnenwater_38";"BinnenwaterVoorDelfstofwinning_39";"VloeiEnOfSlibveld_40";"OverigBinnenwater_41";"TotaalBuitenwater_42";"WaddenzeeEemsDollard_43";"Oosterschelde_44";"Westerschelde_45";"Noordzee_46"
"1602";"GM1728";"1996JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1603";"GM1728";"2000JJ00";"    7571";"     166";"       0";"     166";"       0";"     546";"     380";"       3";"       4";"      10";"     149";"      27";"       4";"       0";"       3";"       0";"      20";"       0";"     178";"      19";"      62";"       3";"       0";"      93";"    4437";"       4";"    4433";"    2188";"    1874";"     250";"      63";"      28";"";"";"";"";"       0";"       9";"       0";"       0";"      19";"";"";"";"";""
"1604";"GM1728";"2003JJ00";"    7571";"     165";"       0";"     165";"       0";"     572";"     385";"       5";"      16";"      10";"     156";"      27";"       3";"       0";"       3";"       0";"      21";"       0";"     203";"      28";"      69";"       3";"       0";"     103";"    4395";"       7";"    4389";"    2179";"    1864";"     253";"      63";"      28";"";"";"";"";"       0";"       9";"       0";"       0";"      19";"";"";"";"";""
"1605";"GM1728";"2006JJ00";"    7571";"     169";"       0";"     169";"       0";"     574";"     385";"       7";"      15";"      11";"     156";"      37";"       2";"       0";"       3";"       0";"      32";"       0";"     206";"      31";"      69";"       3";"       0";"     103";"    4383";"       8";"    4375";"    2173";"    1840";"     269";"      63";"      28";"";"";"";"";"       0";"       9";"       0";"       0";"      19";"";"";"";"";""
"1606";"GM1728";"2008JJ00";"    7571";"     167";"       0";"     167";"       0";"     580";"     390";"       7";"      15";"      10";"     157";"      64";"       2";"       0";"       3";"       0";"      59";"       0";"     199";"      25";"      69";"       3";"       0";"     102";"    4357";"       8";"    4349";"    2175";"    1845";"     267";"      63";"      28";"";"";"";"";"       0";"       9";"       0";"       0";"      19";"";"";"";"";""
"1607";"GM1728";"2010JJ00";"    7571";"     166";"       0";"     166";"       0";"     615";"     403";"      12";"      14";"      10";"     176";"      21";"       2";"       0";"       2";"       0";"      16";"       0";"     209";"      27";"      70";"       4";"       0";"     108";"    4347";"       9";"    4337";"    2187";"    1844";"     282";"      61";"      26";"";"";"";"";"       0";"       7";"       0";"       0";"      19";"";"";"";"";""
"1608";"GM1728";"2012JJ00";"    7562";"     165";"       0";"     165";"       0";"     615";"     403";"      12";"      14";"      11";"     176";"      79";"       2";"       0";"       2";"       0";"      75";"       0";"     206";"      27";"      65";"       4";"       0";"     111";"    4293";"       9";"    4284";"    2177";"    1831";"     286";"      60";"      26";"";"";"";"";"       0";"       7";"       0";"       0";"      18";"";"";"";"";""
"1609";"GM1728";"2015JJ00";"    7562";"     173";"       0";"     173";"       0";"     634";"     406";"      12";"      14";"      12";"     190";"      72";"       2";"       0";"       2";"       0";"      67";"       0";"     218";"      27";"      77";"       4";"       0";"     111";"    4246";"      10";"    4235";"    2191";"    1831";"     299";"      61";"      29";"";"";"";"";"       0";"       7";"       0";"       0";"      22";"";"";"";"";""
"1610";"GM1728";"2017JJ00";"    7562";"     175";"       0";"     175";"       0";"     661";"     418";"      12";"      14";"      11";"     206";"      37";"       2";"       0";"       2";"       0";"      33";"       0";"     229";"      27";"      81";"       4";"       3";"     114";"    4214";"      10";"    4204";"    2216";"    1769";"     367";"      80";"      29";"";"";"";"";"       0";"       7";"       0";"       0";"      22";"";"";"";"";""
"1611";"GM0754";"1996JJ00";"    3332";"      69";"       0";"      69";"       0";"     295";"     212";"       3";"       0";"       9";"      70";"      11";"       2";"       0";"       1";"       0";"       8";"       0";"      83";"      13";"      24";"       1";"       0";"      44";"    2011";"       1";"    2010";"     847";"     742";"      68";"      37";"      15";"";"";"";"";"       0";"       0";"       0";"       0";"      15";"";"";"";"";""
"1612";"GM0754";"2000JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1613";"GM0754";"2003JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
